package,version,downloads,doc_types_available,link_count,handwritten_site,tool_generated_docs,readme_in_package,docs_folder_in_package,docs_folder_files,xml_docs_in_package,github_repo,github_docs_folder,github_wiki,github_pages,homepage,changelog,registry_page,doc_coverage_pct
Microsoft.Extensions.DependencyInjection.Abstractions,10.0.11,12493950814.0,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/Microsoft.Extensions.DependencyInjection.Abstractions.xml,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.Extensions.DependencyInjection.Abstractions,
Microsoft.Extensions.Logging.Abstractions,10.0.11,12022217678.0,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/Microsoft.Extensions.Logging.Abstractions.xml,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.Extensions.Logging.Abstractions,
Microsoft.Extensions.Primitives,10.0.11,11914509581.0,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/Microsoft.Extensions.Primitives.xml,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.Extensions.Primitives,
Microsoft.Extensions.Options,10.0.11,10789620694.0,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/Microsoft.Extensions.Options.xml,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.Extensions.Options,
Microsoft.NETCore.Platforms,7.0.4,9994246659.0,hand-written site; homepage,2,https://dot.net/,,,,,,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.NETCore.Platforms,
System.Diagnostics.DiagnosticSource,10.0.11,9990574796.0,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/System.Diagnostics.DiagnosticSource.xml,https://github.com/dotnet/dotnet,,,,https://dot.net/,,https://www.nuget.org/packages/System.Diagnostics.DiagnosticSource,
Microsoft.Extensions.Configuration.Abstractions,10.0.11,9347055818.0,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/Microsoft.Extensions.Configuration.Abstractions.xml,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.Extensions.Configuration.Abstractions,
Newtonsoft.Json,13.0.4,9039911147.0,hand-written site; readme; xml docs; homepage,2,https://www.newtonsoft.com/json,,README.md,,,lib/net20/Newtonsoft.Json.xml,https://github.com/jamesnk/newtonsoft.json,,,,https://www.newtonsoft.com/json,,https://www.nuget.org/packages/Newtonsoft.Json,
System.Runtime.CompilerServices.Unsafe,6.1.2,8439658732.0,xml docs; homepage,1,,,,,,lib/net462/System.Runtime.CompilerServices.Unsafe.xml,https://github.com/dotnet/maintenance-packages,,,,https://github.com/dotnet/maintenance-packages,,https://www.nuget.org/packages/System.Runtime.CompilerServices.Unsafe,
Microsoft.Extensions.DependencyInjection,10.0.11,7718816604.0,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/Microsoft.Extensions.DependencyInjection.xml,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.Extensions.DependencyInjection,
Microsoft.Extensions.Logging,10.0.11,7559206517.0,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/Microsoft.Extensions.Logging.xml,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.Extensions.Logging,
Microsoft.Extensions.Configuration,10.0.11,6842061867.0,hand-written site; xml docs; homepage,2,https://dot.net/,,,,,lib/net10.0/Microsoft.Extensions.Configuration.xml,https://github.com/dotnet/runtime,,,,https://dot.net/,,https://www.nuget.org/packages/Microsoft.Extensions.Configuration,
System.Threading.Tasks.Extensions,4.6.3,6731249292.0,xml docs; homepage,1,,,,,,lib/net462/System.Threading.Tasks.Extensions.xml,https://github.com/dotnet/maintenance-packages,,,,https://github.com/dotnet/maintenance-packages,,https://www.nuget.org/packages/System.Threading.Tasks.Extensions,
